producto;sku;venta_ars;compra_pdf_ars;diferencia_antes_de_gastos_ars;margen_antes_de_gastos_pct;pagina_pdf;estado;mercado_libre
"TOTAL BOLSA DE HERRAMIENTAS 16"" THT36L03";486538;41800.0;26792.0;15008.0;35.9;33;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW TALADRO DE IMPACTO MOTOR SIN ESCOBILLAS WCDP7281 20V 2B;538862;171600.0;110049.0;61551.0;35.87;57;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW LLAVE TRINQUETE 3/8"" WRW1238";462815;13600.0;8753.0;4847.0;35.64;132;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL LLAVE DE IMPACTO 20V 405NM TIWLI2045 2B;609074;226200.0;145064.0;81136.0;35.87;54;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SOCKET HEXAGONAL THTST12133L 1/2 13MM;437158;13800.0;8826.0;4974.0;36.04;154;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW TRIPODE 1.1MT PARA NIVEL LASER WLE9301;489430;137600.0;88256.0;49344.0;35.86;234;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PORTA MANGUERA DE 40 METROS THHR40122;77835;39600.0;25427.0;14173.0;35.79;305;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL LLAVE DE IMPACTO 20V 400NM UTIWLI2040;511865;8800.0;5674.0;3126.0;35.52;70;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO HERRAMIENTAS ELECTRICAS 3PCS 20V TOSLI241192;528023;368600.0;236400.0;132200.0;35.87;327;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL HIDROLAVADORA TPWLI20084 20V;436229;157300.0;100864.0;56436.0;35.88;201;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW KIT LIMA PARA MADERA 3PCS WSF1403;538510;15600.0;10004.0;5596.0;35.87;319;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CARGADOR RÁPIDO TFCLI2003 20V;455244;31900.0;20488.0;11412.0;35.77;84;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW PUNTAS DE DESTORNILLADOR DE IMPACTO 2PCS 250MM WSV6K66;107709;5600.0;3584.0;2016.0;36.0;57;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW ALICATE CORTE DIAGONAL 8"" WPL7C08";460163;7200.0;4586.0;2614.0;36.31;178;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA POLICORTE TS9243558 2400W;446570;137600.0;88256.0;49344.0;35.86;266;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW TORQUÍMETRO DE 1/2""CRV WSA8101";488815;17200.0;11032.0;6168.0;35.86;336;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW JUEGO DE HERRAMIENTAS TALADRO 77PCS WDT4B77;33367;91000.0;58359.0;32641.0;35.87;276;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL KIT HERRAMIENTA THPTCS70971 97PCS;381703;17200.0;11032.0;6168.0;35.86;331;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOLSA HERRAMIENTAS THT36L01;436823;41800.0;26792.0;15008.0;35.9;33;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW FRESA ROTATIVA 6MM-8MM WYE3K03;543705;11700.0;7505.0;4195.0;35.85;216;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ENGRAPADORA INDUSTRIAL THT31141 4-14MM;341622;13800.0;8826.0;4974.0;36.04;142;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PISTOLA CLAVADORA BRAD TCBNLI2005 15-35MM S/B;527415;234000.0;150051.0;83949.0;35.88;212;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL HIDROLAVADORA TGT11226 2000W;381352;390000.0;250095.0;139905.0;35.87;197;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO 2PCS MOTOSIERRA +PODADORA 20V UTOSLI251085;584739;460200.0;295131.0;165069.0;35.87;207;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL PRENSA HIDRÁULICA 70KN THCT0240;436564;126100.0;80871.0;45229.0;35.87;173;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW NIVEL LASER AUTONIVELANTE VERDE 360° WLE2M05;538589;137600.0;88256.0;49344.0;35.86;236;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL PRENSA SARGENTO G THT13141 4""";436847;12900.0;8255.0;4645.0;36.01;102;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MARTILLO DE DEMOLICIÓN TH309288 220V 950W;442947;179400.0;115051.0;64349.0;35.87;274;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CORTE DE CÉSPED ELÉCTRICO 1600W TGT616151 MOTOR DE INDUC;338448;382200.0;245109.0;137091.0;35.87;302;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"WADFOW CAJA DE HERRAMIENTAS DE PLÁSTICO 13"" WTB3313";33916;27000.0;17336.0;9664.0;35.79;36;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL LLAVE DE IMPACTO DE AIRE TAT40341 3/4"" 1355NM";313872;317200.0;203424.0;113776.0;35.87;54;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW GATO DE TIJERA 1.5TON WHJ4515;461566;37700.0;24179.0;13521.0;35.86;182;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMPRESOR DE AIRE 24L UTC220248;487443;270300.0;173360.0;96940.0;35.86;97;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW ORGANIZADOR MODULAR TRANSPARENTE WTB8331;489836;41800.0;26792.0;15008.0;35.9;36;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE HOJA DE SIERRAS SABLE TAC521002;501989;22100.0;14175.0;7925.0;35.86;251;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOMBA DE AGUA SUMERGIBLE TWP7150026 1500W 2HP;502108;172000.0;110320.0;61680.0;35.86;199;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL CORTACÉSPED 20V TLMLI2014;486866;17200.0;11032.0;6168.0;35.86;328;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE DESTORNILLADORES THT250608 8PCS;367660;15700.0;10086.0;5614.0;35.76;146;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL GENERADOR A GASOLINA 2.0KW TP523006;576680;1177800.0;755336.0;422464.0;35.87;99;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CAJA DE HERRAMIENTAS CON 5 GAVETAS WCS2A05;489478;621400.0;398511.0;222889.0;35.87;31;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL HOJA DE LIJA PARA LIJADORA EXCÉNTRICA 125MM TAC125050;501996;12300.0;7886.0;4414.0;35.89;213;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL JUEGO DE BROCAS M2 HSS 15PCS TACSDL51508;536509;15700.0;10086.0;5614.0;35.76;15;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MÁQUINA DE SOLDAR 40A TCUT4058;576666;206400.0;132384.0;74016.0;35.86;271;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MÁQUINA DE SOLDADURA TW22506 220V 250A;442992;206400.0;132384.0;74016.0;35.86;270;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW CARRO DE HERRAMIENTAS DE 3 NIVELES WCS1A13;490351;13800.0;8826.0;4974.0;36.04;234;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL LIJADORA DE AIRE ORBITAL 6"" TAT91512";49900;108100.0;69344.0;38756.0;35.85;219;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL ALICATE PUNTA LARGA THT220806;430395;8800.0;5674.0;3126.0;35.52;139;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL LLAVE DE CATRACA 1/2"" 260MM THT106126";340700;8800.0;5674.0;3126.0;35.52;150;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BOTAS DE SEGURIDAD TSP207IDSB.45 NEGRO/ROJO;532464;57200.0;36683.0;20517.0;35.87;237;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL COMBO 3PCS DETECTOR + LASER + CORTADOR DE AZULEJOS TOS25;583787;351000.0;225100.0;125900.0;35.87;171;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW RECTIFICADOR WAT5514;461948;17200.0;11032.0;6168.0;35.86;339;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW LUBRICADOR NEUMÁTICO DE GRASA DE AIRE 12 LITROS WAL1A12;489706;361400.0;231770.0;129630.0;35.87;95;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW LLAVE COMBINADA 22MM WSA5122;201339;10100.0;6503.0;3597.0;35.61;129;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
WADFOW MEDIDOR DE ESPESOR 0-20MM WDTG1P03;543187;31800.0;20425.0;11375.0;35.77;320;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL BROCA ESPIRAL DE TIERRA TEA55221-2 LAMINA;527538;57200.0;36683.0;20517.0;35.87;7;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL ESPATULA DE YESO THPUT38250 10""";367844;12800.0;8195.0;4605.0;35.98;168;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
"TOTAL PULIDORA 20V 7"" TAPLI2018";536349;163800.0;105047.0;58753.0;35.87;40;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL SIERRA DE PODA 330MM THPS3308;554169;137600.0;88256.0;49344.0;35.86;264;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
TOTAL MÁQUINA DE SOLDAR TW216069 160A MMA;521147;286000.0;183415.0;102585.0;35.87;269;"Costo base documentado; transporte y comisiones pendientes";Comparación individual pendiente
